"","id","mintars"
"963",1128,19.25
"964",1128,19.4
"965",1128,19.25
"966",1128,19.1
"967",1128,NA
"968",1128,19.25
"969",1128,19
"970",1128,NA
"971",1128,19.8
"972",1129,19.25
"973",1131,18.5
"974",1131,18.5
"975",1131,18.25
"976",1131,18.5
"977",1131,NA
"978",1132,19
"979",1132,18.95
"980",1132,19.25
"981",1132,19.5
"982",1134,19.6
"983",1135,21
"984",1136,19.75
"985",1136,19.75
"986",1136,19.75
"987",1136,19.75
"988",1138,19.1
"989",1138,19.2
"990",1140,18.75
"991",1141,19
"992",1141,19.25
"993",1142,20.75
"994",1142,20.4
"995",1142,19.8
"996",1156,19.25
"997",1156,19
"998",1156,19
"999",1156,18.8
"1000",1161,19.75
"1001",1161,19
"1002",1162,19
"1003",1162,19
"1004",1162,18.9
"1005",1162,19
"1006",1162,NA
"1007",1162,18.7
"1008",1163,19.75
"1009",1163,19.9
"1010",1163,19.25
"1011",1164,17.5
"1012",1164,17.3
"1013",1172,19.6
"1014",1172,19.25
"1015",1172,19.5
"1016",1172,19.25
"1017",1172,19.25
"1018",1172,19.5
"1019",1172,19.3
"1020",1172,19.2
"1021",1172,NA
"1022",1178,20.75
"1023",1178,20.75
"1024",1178,20.75
"1025",1178,20.9
"1026",1178,20.3
"1027",1178,NA
"1028",1181,20
"1029",1181,19.75
"1030",1183,20.5
"1031",1184,18.5
"1032",1184,18.75
"1033",1186,19.75
"1034",1186,19.5
"1035",1186,19.75
"1036",1186,19.75
"1037",1186,19.4
"1038",1186,19.5
"1039",1186,NA
"1040",1186,NA
"1041",1186,NA
"1042",1186,NA
"1043",1187,19
"1044",1187,18.75
"1045",1187,18.75
"1046",1187,18.75
"1047",1187,18.75
"1048",1188,20
"1049",1188,19.9
"1050",1188,19.75
"1051",1188,20
"1052",1188,20
"1053",1190,19.25
"1054",1190,19
"1055",1190,19
"1056",1190,19.25
"1057",1190,19.5
"1058",1191,18.75
"1059",1191,20.5
"1060",1191,20.5
"1061",1192,19.5
"1062",1192,19.75
"1063",1192,19.75
"1064",1193,18.25
"1065",1194,19.5
"1066",1194,19.25
"1067",1194,18.75
"1068",1194,NA
"1069",1194,18.8
"1070",1194,NA
"1071",1194,19.5
"1072",1195,20
"1073",1195,19.75
"1074",1197,19.75
"1075",1197,19.9
"1076",1197,19.75
"1077",1199,19.5
"1078",1199,19.5
"1079",1199,19.3
"1080",1199,19
"1081",1199,19.15
"1082",1199,19.3
"1083",1201,20.2
"1084",1201,20.1
"1085",1201,20
"1086",1201,20.2
"1087",1201,20
"1088",1201,19.9
"1089",1202,20.75
"1090",1202,20.75
"1091",1202,20.75
"1092",1202,20.75
"1093",1203,18.75
"1094",1203,19.45
"1095",1203,19.75
"1096",1203,19.8
"1097",1203,19.6
"1098",1206,19.4
"1099",1208,18.8
"1100",1208,18.95
"1101",1212,18.9
"1102",1212,18.9
"1103",1212,NA
"1104",1220,20.1
"1105",1220,20.2
"1106",1220,20.2
"1107",1220,20
"1108",1220,20.2
"1109",1220,NA
